Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2024-05-14,476.3233642578125,476.74914081339233,473.78846772542295,474.28356517656704,3257700
2024-05-15,482.1258850097656,482.45266624514,478.0066706487469,478.6007936253231,4399500
2024-05-16,481.20501708984375,483.7795298752692,481.0663752989411,482.2744142864988,3347400
2024-05-17,481.91796875,481.9575850079972,479.9474905261376,481.32384575344497,3274000
2024-05-20,482.39324951171875,483.81910232776886,481.680307994519,482.0070590064921,2599600
2024-05-21,483.6904296875,483.78942500569684,481.58130965426926,481.7595374890448,2453600
2024-05-22,482.2843017578125,483.64086386887953,480.18509350842277,483.0071548777188,3250600
2024-05-23,478.6998291015625,485.1855936665076,477.56111100017483,485.10639136988215,3811300
2024-05-24,481.95758056640625,482.620994235404,479.58108860208733,480.4227603212544,2551400
2024-05-28,482.3437194824219,482.86852155396423,479.779118399349,482.6209728368528,4034700
2024-05-29,478.9473876953125,479.92767100529306,478.2245345184307,478.4522902307403,5605000
2024-05-30,475.7292785644531,478.0166265505723,474.50144645924007,477.3927988782939,3393600
2024-05-31,479.8682556152344,480.1554206021671,471.808084708199,476.52139196241706,5334000
2024-06-03,480.3930358886719,481.6406910966963,475.68961024881077,481.5317539472842,4211300
2024-06-04,480.9772644042969,481.6407082879893,477.8284518527815,479.2543349361753,2560300
2024-06-05,486.73028564453125,486.73028564453125,481.2941253733027,483.0863757050864,3026100
2024-06-06,486.62139892578125,487.3541335042732,484.83906013872206,487.0174708541998,21344000
2024-06-07,485.98760986328125,488.6908526243747,484.7399849275326,485.7400611560937,3063600
2024-06-10,487.5818786621094,487.85913202783576,484.75981712839575,485.3638517362982,3465200
2024-06-11,488.6908874511719,488.8196176230191,484.31421270011674,486.17578394576867,4028400
2024-06-12,492.7605895996094,495.2459581747713,491.8396854045863,493.04772435469084,3698800
2024-06-13,493.6913757324219,494.5528707063836,491.1960953832378,494.40431729195325,8808900
2024-06-14,494.0874328613281,494.14684213434674,491.4238063203813,492.38429652531397,5812000
2024-06-17,498.00860595703125,499.236437915165,493.0279270134528,493.5923453367946,4609500
2024-06-18,499.3354797363281,499.4146820317422,497.70166420555665,498.117529138593,3431700
2024-06-20,497.9491882324219,500.781130982858,496.27575652776466,500.18703825084236,4810900
2024-06-21,496.8599853515625,498.28586839529464,495.93911136617083,497.1768549653585,4347800
2024-06-24,495.52325439453125,499.4939458364883,495.52325439453125,497.10757236721287,7022800
2024-06-25,497.5828552246094,497.8996946307103,495.4143259484423,496.79068116348066,6336700
2024-06-26,498.1373596191406,498.8304779237292,495.9787419721083,496.55304172267313,3202700
2024-06-27,498.9096984863281,499.5335260983582,497.39470152211925,498.0680267910232,3619700
2024-06-28,496.9858703613281,502.5506712735161,495.87291624403554,499.8080126803843,5598600
2024-07-01,498.128662109375,498.52614141234517,495.4655174211753,498.3373334364321,4368500
2024-07-02,501.35821533203125,501.4376990598941,496.4691321110005,496.54864616458934,4210100
2024-07-03,503.6239013671875,503.95184378171285,501.05018722086305,501.05018722086305,2131100
